"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Warsaw","PL","2025-05-07 21:10:05+02",5617,0.00000,437.28239,66,16.44000,10000000,271.43822,36,16.44000,50000000
"Warsaw","PL","2025-05-07 21:09:16+02",5617,0.00000,913.26847,8,3.18000,10000000,286.75369,71,26.11000,50000000
"Krakow","PL","2025-05-05 02:45:44+02",5617,0.00000,922.40548,13,2.04000,100000000,318.41584,11,1.55000,10000000
"Krakow","PL","2025-05-05 02:12:25+02",5617,0.00000,921.02498,13,2.29000,100000000,326.29870,10,1.89000,10000000
"Lodz","PL","2025-05-05 05:57:18+02",5617,0.00000,288.28916,79,33.36000,100000000,195.14563,27,7.04000,1000000
"Łaziska Górne","PL","2025-05-05 05:55:01+02",5617,0.00000,47.44539,96,27.72000,10000000,7.66371,487,182.56000,1000000
"Warsaw","PL","2025-05-07 07:28:42+02",5617,0.00000,562.60595,37,8.54000,10000000,92.31193,246,44.90000,25000000
"Krakow","PL","2025-05-07 07:05:55+02",5617,0.00000,8.41030,2180,549.78000,1000000,1.17547,7220,1531.38000,1000000
"Krakow","PL","2025-05-07 07:02:38+02",5617,0.00000,7.49359,2341,710.91000,1000000,1.00362,6856,1846.97000,100000
"Warsaw","PL","2025-05-05 10:59:37+02",12741,0.00000,31.46232,173,41.88000,10000000,3.99781,75,5.82000,1000000
"Warsaw","PL","2025-05-05 10:41:10+02",12741,0.00000,28.66545,245,42.66000,10000000,4.71388,114,21.14000,1000000
"Warsaw","PL","2025-05-05 10:39:38+02",12741,0.00000,19.66240,408,70.08000,10000000,4.46319,142,37.51000,1000000
"Warsaw","PL","2025-05-05 10:34:47+02",12741,0.00000,387.60852,12,1.36000,10000000,270.08869,13,1.94000,50000000
"Warsaw","PL","2025-05-05 10:34:07+02",12741,0.01900,24.39757,281,97.28000,1000000,4.56170,113,21.17000,1000000
"Darłowo","PL","2025-05-07 19:34:42+02",12741,0.00000,808.00153,12,2.94000,100000000,291.98141,34,16.33000,50000000
"Warsaw","PL","2025-05-07 12:53:07+02",12741,0.00000,394.68363,11,29.06000,10000000,306.82339,12,1.71000,25000000
"Warsaw","PL","2025-05-07 09:37:33+02",12741,0.00000,390.22602,11,1.08000,100000000,338.01396,11,1.73000,50000000
"Warsaw","PL","2025-05-07 08:33:27+02",12741,0.09300,99.19703,15,4.18000,10000000,73.29079,55,22.75000,1000000
"Warsaw","PL","2025-05-07 08:31:11+02",12741,0.46400,74.59992,230,56.64000,25000000,59.07421,141,28.38000,1000000
"Warsaw","PL","2025-05-07 08:28:42+02",12741,0.10300,134.94748,18,39.29000,1000000,109.53678,17,24.69000,10000000
"Warsaw","PL","2025-05-05 06:48:54+02",137409,0.00000,487.93189,57,14.00000,25000000,36.24887,54,30.18000,10000000
"Warsaw","PL","2025-05-06 06:31:33+02",12741,0.00000,387.91755,10,0.91000,100000000,363.86676,10,1.47000,50000000
"Warsaw","PL","2025-05-07 06:18:46+02",12741,0.00000,387.86114,11,2.52000,100000000,334.97209,13,2.48000,50000000
"Warsaw","PL","2025-05-05 11:52:29+02",12741,0.00000,373.34789,10,1.19000,25000000,361.99910,13,1.61000,50000000
"Warsaw","PL","2025-05-05 11:02:29+02",12741,0.00000,35.12420,230,54.29000,10000000,5.24154,98,13.07000,1000000
"Warsaw","PL","2025-05-07 07:48:33+02",12741,0.00000,393.31838,10,1.91000,25000000,334.91627,13,1.66000,50000000
"Warsaw","PL","2025-05-07 07:35:18+02",12741,0.00000,386.32875,21,28.97000,25000000,343.94250,16,3.50000,50000000
"Warsaw","PL","2025-05-07 07:34:21+02",12741,0.00000,93.96571,16,2.91000,10000000,93.85506,22,1.47000,25000000
